马来,#genre#
中天美食旅遊,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live123&nid=251#https://4gtvfree-mozai.4gtv.tv/Oc5b4KlVfO4WBJJ1aZkycT6cG7g9KzQWIPJVYKbUR7A%3d/stream2.m3u8?token=bbKGPUHTwvn6JFb5q3eDXQ&expires=1650434307&refer=NjA5YzI5YzItZTg0OS00OWM2LTkxY2QtN2RiNDg0YzBkYWNj&token1=IWaQipC5EugFVD4fZhgNTg&expires1=1650434307&y=0&vt=
老广的味道，http://akmcdnoversea.inter.iqiyi.com/tslive/l1/c56_lb_182_600_t10/1sHOZtjdtQeqd2neLHoWsL8Qu_9XSa8SBk069ouyYsfmsuqnTwk-t8y3ysMzjVopY2swzbeY2u6VM-xENkmxpbwxZpYHqUP6bn_mWW_4H1nTn3IiLjxMAocUo_HKXTUS/14454fcc378fab128570f7a7c0667dfc9/c56_lb_182_600_t10.m3u8?key=0cad0721217f6a11ad09559b935b3cf79&dis_t=1645540582&z=akm_oversea&pv=0.2
李子柒美食,https://www.youtube.com/playlist?list=PLPJbGPTBfsdPCQZ0HWGngmRID5Fr9YpgN|Referer=https://www.youtube.com#http://hls-ott-zhibo.wasu.tv/live/443/index.m3u8#http://bd.flv.huya.com/src/1199512837905-1199512837905-5226813369159254016-2399025799266-10057-A-0-1.flv?wsSecret=ee5428509b439045e776a58f87cc2f63&wsTime=61233471&fm=RFdxOEJjSjNoNkRKdDZUWV8kMF8kMV8kMl8kMw%3D%3D&ctype=tars_mobile&txyp=o%3An9%3B&fs=bgct&&sphdcdn=al_7-tx_3-js_3-ws_7-bd_2-hw_2&sphdDC=huya&sphd=264_*&t=103#http://hls-ott-zhibo.wasu.tv/live/443/index.m3u8#https://www.youtube.com/playlist?list=PLPJbGPTBfsdPCQZ0HWGngmRID5Fr9YpgN|Referer=https://www.youtube.com
中华美食(智能解),http://39.135.138.58:18890/PLTV/88888888/224/3221225924/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225924/index.m3u8#http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R609DF27DU30963004K77360366I5D0110ACPBM356F868V0Z57EA5W167ED2234F88A5EE&programid=4200000129&playtoken=ABCDEFGH&auth=no
CCTV世界地理,http://117.148.179.160/PLTV/88888888/224/3221231537/index.m3u8
随手做美食,http://epg.112114.xyz/douyu/9615087#http://dyscdnali1.douyucdn.cn/live/9615087rSP9QV3h8.flv?uuid=
大海哥美食,http://epg.112114.xyz/douyu/9696878#http://dyscdnali1.douyucdn.cn/live/9696878rRqOmsJ5G.flv?uuid=
美食作家王刚,http://epg.112114.xyz/douyu/8144937#http://dyscdnali1.douyucdn.cn/live/8144937ru3ptizzM.flv?uuid=
厨师长农国栋,http://epg.112114.xyz/douyu/8941512#http://dyscdnali1.douyucdn.cn/live/8941512r9N2dwvba.flv?uuid=
美食中国,http://hls.cntv.myhwcdn.cn/asp/hls/1200/0303000a/3/default/828304ee9a0e4c1f97a1d2f6986b1290/1200.m3u8
爱美食,http://111.11.123.49:6610/000000001000/6000000006000120630/1.m3u8?Contentid=6000000006000120630&livemode=1&stbId=3&channel-id=wasusyt#http://111.40.196.37/0000000000001000/1.m3u8?Contentid=6000000006000120630&livemode=1&stbId=3&channel-id=wasusyt
Food Network,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c21037


美食-2,#genre

体育,#genre#
Assp-1,http://203.154.243.89:21201/nakhon#https://m3u-editor.com:443/live/sirpn1tr/wcqg89yv/494142712.m3u8#http://iptv12k.com:35461/8032022060101/452381/972
Assp-2,http://203.154.243.89:21202/nakhon#https://m3u-editor.com:443/live/sirpn1tr/wcqg89yv/494142713.m3u8#http://iptv12k.com:35461/8032022060101/452381/971
Assp-3,http://203.154.243.89:21203/nakhon#https://m3u-editor.com:443/live/sirpn1tr/wcqg89yv/494142714.m3u8#http://iptv12k.com:35461/8032022060101/452381/970
Assp-4,http://203.154.243.89:21204/nakhon#http://iptv12k.com:35461/8032022060101/452381/7984#http://iptv12k.com:35461/8032022060101/452381/969
Assp-5,https://m3u-editor.com:443/live/sirpn1tr/wcqg89yv/494142716.m3u8#https://m3u-editor.com:443/live/sirpn1tr/wcqg89yv/494142716.m3u8
A-Supersport 1,http://quality-restream.com:8080/linuxapp2021/M3jc66jD9UCnpK9v/146068#http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20414
A-Supersport 2,http://quality-restream.com:8080/linuxapp2021/M3jc66jD9UCnpK9v/157556#http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20415
A-Supersport 3,http://quality-restream.com:8080/linuxapp2021/M3jc66jD9UCnpK9v/157557#http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20416
A-Supersport 4,http://quality-restream.com:8080/linuxapp2021/M3jc66jD9UCnpK9v/157558#http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20417
A-Supersport 5,http://203.154.243.88:11088/hi/foxsports2#http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20561#mitv://ns2.hellotvvod.com:9906/acabc5f598a7443fbff8008e0c9ffddd.ts
Arena-1,http://iptv12k.com:35461/8032022060101/452381/966#P2p://ns2.hellotvvod.com:9906/5c70c832d10f4b49879633dab1b43616.ts
Arena-2,http://iptv12k.com:35461/8032022060101/452381/965#P2p://ns2.hellotvvod.com:9906/dea566c69fda4f6c97c23aa0ead5320b.ts
RTMsport,mitv://ns2.hellotvvod.com:9906/cf011c8e1f5248d58c668dcb5d2b062d.ts
Now Sports Prime 630,http://livetv.dnsfor.me/channel.12.m3u8
爱尔达体育-1,rtmp://59.124.75.138/sat/md051
爱尔达体育1台(备),rtmp://59.124.75.150/sat/md051
爱尔达体育-2,rtmp://59.124.75.150/sat/md041
爱尔达体育2台(备),rtmp://59.124.75.138/sat/md041
纬来体育台-1,rtmp://59.124.75.150/sat/tv721
纬来体育台-2,rtmp://59.124.75.138/sat/tv721
纬来体育台-3,https://t1a.ggiptv.com/live/tv721/index.m3u8?session=g4a0n722x5kurzvonb2uwdk212gm709x
ELEVEN-1,rtmp://59.124.75.138/sat/tv731#rtmp://59.124.75.150/sat/tv731#https://t1a.ggiptv.com/live/tv731/index.m3u8?session=q0bqcm11sln05a83xz4tc4flqqrmk445
ELEVEN-2,rtmp://59.124.75.138/sat/tv741#rtmp://59.124.75.150/sat/tv741#https://t25a.ggiptv.com/live/tv741/index.m3u8?session=lrjlbol2cidpjze9rowqdv4ewdeb89e0
ELEVEN体育PLUS,P2p://ns2.hellotvvod.com:9906/90ca1fb937da4b079e2e7ffccc5e760c.ts
智林体育台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv101&nid=58#http://58.99.33.16:1935/liveedge17/live_122_3.stream/chunklist.m3u8#http://58.99.33.16:1935/liveedge17/live_122_3.stream/chunklist.m3u8
美国籃球史 ,http://txtest-xp2p.p2p.huya.com/1099531627841-1099531627841-85899625092874240-2199063379138-10057-A-0-1.xs
中国籃球1 ,http://txtest-xp2p.p2p.huya.com/1099531627800-1099531627800-85899448999215104-2199063379056-10057-A-0-1.xs
中国籃球2 ,http://txtest-xp2p.p2p.huya.com/1859752418-1859752418-7987575813966921728-3719628292-10057-A-0-1.xs
中国籃球3 ,http://txtest-xp2p.p2p.huya.com/1099531627793-1099531627793-85899418934444032-2199063379042-10057-A-0-1.xs
中国籃球4 ,http://txtest-xp2p.p2p.huya.com/1099531739898-1099531739898-86380906243162112-2199063603252-10057-A-0-1.xs
中国籃球5 ,http://txtest-xp2p.p2p.huya.com/1099531627793-1099531627793-85899418934444032-2199063379042-10057-A-0-1.xs
中国籃球6 ,http://txtest-xp2p.p2p.huya.com/1099531739953-1099531739953-86381142466363392-2199063603362-10057-A-0-1.xs
中国籃球7 ,http://txtest-xp2p.p2p.huya.com/1099531739788-1099531739788-86380433796759552-2199063603032-10057-A-0-1.xs
中国籃球8 ,http://txtest-xp2p.p2p.huya.com/1099531627785-1099531627785-85899384574705664-2199063379026-10057-A-0-1.xs
中国-街波王子 ,http://txtest-xp2p.p2p.huya.com/1099531739790-1099531739790-86380442386694144-2199063603036-10057-A-0-1.xs
博斯高球1,mitv://ns2.hellotvvod.com:9906/de1bd896c5d9476f8344d428264cf268.ts#P2p://ns2.hellotvvod.com:9906/b3ef79868e3e486595c9d24a22e48261.ts
博斯高球2,mitv://ns2.hellotvvod.com:9906/ec378e331cd64dbbbbd3730977c04469.ts#P2p://ns2.hellotvvod.com:9906/d06ef9ff95844798a0cfa252fea4564a.ts
博斯运动1台,mitv://ns2.hellotvvod.com:9906/c6bec0d071b841bcbe97b08b6fdfacba.ts#P2p://ns2.hellotvvod.com:9906/f8422d3da42f4f508ee5060ebff19bd0.ts
博斯运动2台,mitv://ns2.hellotvvod.com:9906/c024455c614e486793bac3888ea26189.ts#P2p://ns2.hellotvvod.com:9906/c762cbc365414f5b879bace32c5acb2a.ts
博斯网球,rtmp://59.124.75.138/sat/md031#rtmp://59.124.75.150/sat/md031
博斯無限,mitv://ns2.hellotvvod.com:9906/f8e5141856a14502bf9581fc546208a1.ts#P2p://ns2.hellotvvod.com:9906/060ce59f1ecf4882a9dadff5f432c19f.ts
博斯无限2,mitv://ns2.hellotvvod.com:9906/05648d7433be4d09bbda906da11c1a84.ts#P2p://ns2.hellotvvod.com:9906/89bd015ae4764af2a79b9cca01080c51.ts
博斯魅力,mitv://ns2.hellotvvod.com:9906/53b5eef4a40744ac86d35b035f4428b2.ts#P2p://ns2.hellotvvod.com:9906/7b182c90a4d440feac5a9f9638d50223.ts
PGA TOUR,http://iptv12k.com:35461/8022022301/468985/651
ONE GOLF,http://162.250.201.58:6211/pk/ONEGOLF/tracks-v1a1/mono.m3u8#http://162.250.201.58:6211/pk/ONEGOLF/index.m3u8##http://162.250.201.58:6211/pk/ONEGOLF/index.m3u8?checkedby:iptvcat.com
WWE,http://iptv12k.com:35461/8022022301/468985/652
RedBull TV,https://i.mjh.nz/au/Canberra/tv.redbull.tv.m3u8#https://i.mjh.nz/au/Sydney/tv.redbull.tv.m3u8#https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_3360.m3u8
CCTV-5体育,http://111.12.101.23:6610/PLTV/77777777/224/3221225516/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.135.138.58:18890/PLTV/88888888/224/3221225633/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5+体育赛事,http://111.12.101.23:6610/PLTV/77777777/224/3221225621/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8#http://117.148.179.136/PLTV/88888888/224/3221231459/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225507/index.m3u8
PP体育,http://117.148.179.172/PLTV/88888888/224/3221231778/index.m3u8
咪咕视频·PP体育1,http://39.134.65.162/PLTV/88888888/224/3221225611/index.m3u8
魅力足球,http://183.207.255.188/live/program/live/mlyyhd/4000000/mnf.m3u8#http://183.207.255.188/live/program/live/mlyyhd/4000000/mnf.m3u8
五星体育,http://111.40.196.25/PLTV/88888888/224/3221225503/index.m3u8
新视觉Sport,http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8
Spot Tv,http://iptv12k.com:35461/8032022060101/452381/967
